administration,nom,prenom,civilite,grade,fonction,categorie,type_organisme,code_insee_commune
Service de la coordination des politiques publiques - La Réunion,,,,,Chef du bureau de la coordination et des procédures environnementales,SIL,"Préfecture, sous-préfecture",97411
Service de la coordination des politiques publiques - La Réunion,,,,,Chef du bureau de l'animation des instances et de la coordination interministèrielle,SIL,"Préfecture, sous-préfecture",97411
Service de la coordination des politiques publiques - La Réunion,,,,,Chef du bureau de l'expertise juridique et du contentieux,SIL,"Préfecture, sous-préfecture",97411
Direction régionale des douanes - Poitiers,LEHMANN,Damien,M.,administrateur des douanes et droits indirects,Directeur régional,SIL,Service déconcentré,86194
Direction de la mer - Sud Océan Indien (DMSOI) - Unité territoriale de Mayotte,MEVELEC,Éric,M.,administrateur en chef des affaires maritimes,Directeur,SIL,Service déconcentré,97608
Direction de la mer - Sud Océan Indien (DMSOI) - Unité territoriale de Mayotte,LAFON,Jérôme,M.,administrateur en chef des affaires maritimes,Directeur adjoint,SIL,Service déconcentré,97608
Archives départementales - Haute-Corse,DEVAUX,Dominique,M.,,Directrice,SIL,Collectivité locale,2B033
Département investissement et logistique (CHRU) - Nancy,SCHREINER,Agnès,Mme,,Cheffe du département,SIL,Établissement public,54395
Secrétariat général commun départemental - Guadeloupe,CEDILEAU-JANAS,Linda,Mme,directrice hors classe des services de greffe judiciaires,Directrice,SIL,"Préfecture, sous-préfecture",97105
Secrétariat général commun départemental - Guadeloupe,,,,,Directeur adjoint,SIL,"Préfecture, sous-préfecture",97105
Institut national supérieur du professorat et de l'éducation (Inspé) - Académie de Martinique,DORVILLE,René,M.,maître de conférence,Directeur,SIL,Service déconcentré,97209
Archives départementales - Côte-d'Or,BOUYÉ,Édouard,M.,,Directeur,SIL,Collectivité locale,21231
Rectorat - Académie de Nancy-Metz,MOURIER,Pierre-François,M.,conseiller d'État,"Recteur de la région académique Grand Est, recteur de l’académie de Nancy-Metz, Chancelier des universités",SIL,Service déconcentré,54395
Rectorat - Académie de Nancy-Metz,BOHN,François,M.,,Secrétaire général,SIL,Service déconcentré,54395
Rectorat - Académie de Nancy-Metz,,,,,Directeur de cabinet,SIL,Service déconcentré,54395
Rectorat - Académie de Nancy-Metz,JOUVERT,Brigitte,Mme,,Médiatrice académique,SIL,Service déconcentré,54395
Rectorat - Académie de Nancy-Metz,STEPHANY,Karima,Mme,,Médiatrice académique,SIL,Service déconcentré,54395
Rectorat - Académie de Nancy-Metz,BRUN-WILHELM,Corinne,Mme,,Médiatrice académique,SIL,Service déconcentré,54395
Cerema - Direction territoriale Occitanie,PORTALEZ,Cyrille,M.,,Directeur territorial,SIL,Établissement public,31555
Cerema - Direction territoriale Occitanie,SAUVAGNAC,Pascal,M.,,Directeur territorial adjoint,SIL,Établissement public,31555
Service départemental d'incendie et de secours (SDIS) - Ille-et-Vilaine,,,,,Directeur départemental,SIL,Établissement public,35238
Délégué départemental à la vie associative (DDVA) - Pas-de-Calais,KICIEN,Séverine,Mme,,Déléguée départementale à la vie associative,SIL,Service déconcentré,62041
Archives départementales - Mayotte,HABRAN,Maxence,M.,,Directeur,SIL,Collectivité locale,97611
Délégation militaire départementale (DMD) - Loire-Atlantique,DE MONTEVILLE,Rémi,M.,capitaine de vaisseau,Délégué militaire départemental,SIL,Service déconcentré,44109
Rectorat - Académie de Paris,BENETTI,Julie,Mme,,Directrice de l'Académie,SIL,Service déconcentré,75119
Rectorat - Académie de Paris,NOÉ,Laurent,M.,,"Directeur de l'académie de Paris, Directeur des services départementaux de l'Éducation nationale",SIL,Service déconcentré,75119
Rectorat - Académie de Paris,TRIVIDIC,Carine,Mme,,Directrice de cabinet,SIL,Service déconcentré,75119
Rectorat - Académie de Paris,VIOT-LEGOUDA,Delphine,Mme,attaché d'administration de l'Etat hors classe,Secrétaire générale de l'académie de Paris pour l'enseignement scolaire,SIL,Service déconcentré,75119
Rectorat - Académie de Paris,BAL,Gilles,M.,,Médiateur académique,SIL,Service déconcentré,75119
Rectorat - Académie de Paris,HUDSON,Ghislaine,Mme,,Médiatrice académique,SIL,Service déconcentré,75119
Rectorat - Académie de Paris,VAISSADE,Christiane,Mme,,Médiatrice académique,SIL,Service déconcentré,75119
Rectorat - Académie de Paris,PROQUIN,Michelle,Mme,,Médiatrice académique,SIL,Service déconcentré,75119
Maison de la région - Occitanie - Millau,COSTES,Elise,Mme,,Directrice,SIL,Collectivité locale,12145
Météo-France - Direction interrégionale - Polynésie française,MARTINONI-LAPIERRE,Sophie,Mme,"ingénieure générale des ponts, des eaux et des forêts",Directrice interrégionale,SIL,Établissement public,98715
"Direction régionale de l'économie, de l'emploi, du travail et des solidarités (DREETS) - Occitanie",TOGNOLA,Julien,M.,ingénieur général des mines,Directeur régional,SIL,Service déconcentré,31555
"Direction régionale de l'économie, de l'emploi, du travail et des solidarités (DREETS) - Occitanie",GUIGUET,Stéphane,M.,inspecteur général de santé publique vétérinaire,Directeur régional délégué,SIL,Service déconcentré,31555
"Direction régionale de l'économie, de l'emploi, du travail et des solidarités (DREETS) - Occitanie",ROLSHAUSEN,Nadia,Mme,directrice du travail hors classe,"Directrice régionale adjointe, pôle Politique du travail",SIL,Service déconcentré,31555
"Direction régionale de l'économie, de l'emploi, du travail et des solidarités (DREETS) - Occitanie",BORGHESE,Thierry,M.,"directeur départemental de la concurrence, de la consommation et de la répression des fraudes","Directeur régional adjoint, pôle Concurrence, consommation, répression des fraudes et métrologie",SIL,Service déconcentré,31555
"Direction régionale de l'économie, de l'emploi, du travail et des solidarités (DREETS) - Occitanie",ESPINASSOUS,Bastien,M.,administrateur de l'État hors classe,"Directeur régional adjoint, pôle Entreprises, emploi, compétences",SIL,Service déconcentré,31555
"Direction régionale de l'économie, de l'emploi, du travail et des solidarités (DREETS) - Occitanie",CORNUT,Régis,M.,inspecteur de l'action sanitaire et sociale de classe exceptionnelle,"Directeur régional adjoint, pôle Cohésion sociale, formation, certification",SIL,Service déconcentré,31555
Direction départementale de la protection des populations (DDPP) - Pas-de-Calais,MAINGUET,Catherine,Mme,,Directrice départementale,SIL,Direction départementale interministérielle,62041
Direction départementale de la protection des populations (DDPP) - Pas-de-Calais,BRICOUT-BOUTON,Florence,Mme,inspectrice en chef de santé publique vétérinaire,Directrice départementale adjointe,SIL,Direction départementale interministérielle,62041
Direction régionale aux droits des femmes et à l'égalité (DRDFE) - Île-de-France,BRAY,Caroline,Mme,,Directrice régionale,SIL,"Préfecture, sous-préfecture",75115
Direction régionale aux droits des femmes et à l'égalité (DRDFE) - Île-de-France,RÉVOLAT,Inès,Mme,,Directrice régionale déléguée,SIL,"Préfecture, sous-préfecture",75115
Archives départementales - Haute-Saône,BOULLY,Vincent,M.,,Directeur,SIL,Collectivité locale,70550
Service de la coordination des politiques publiques - Cantal,,,,,Chef de service,SIL,"Préfecture, sous-préfecture",15014
Unité départementale de l'architecture et du patrimoine (UDAP) - Creuse,DUPAS,Christelle,Mme,,"Cheffe du service, architecte des Bâtiments de France",SIL,Service déconcentré,23096
Agence de l'environnement et de la maîtrise de l'énergie (ADEME) - Direction régionale Pays de la Loire,PRUD'HOMME,Eric,M.,,Directeur régional,SIL,Établissement public,44109
Agence de l'environnement et de la maîtrise de l'énergie (ADEME) - Direction régionale Pays de la Loire,LACROIX,Benoît,M.,,Directeur régional adjoint,SIL,Établissement public,44109
"Pôle Parcours patient, qualité, gestion des risques, relations usagers et développement durable (CHU) - Toulouse",DE CREST,Véronique,Mme,,Directrice du pôle,SIL,Établissement public,31555
"Pôle Parcours patient, qualité, gestion des risques, relations usagers et développement durable (CHU) - Toulouse",DE CREST,Véronique,Mme,,"Directrice de la qualité, de la sécurité et relations avec les usagers",SIL,Établissement public,31555
"Pôle Parcours patient, qualité, gestion des risques, relations usagers et développement durable (CHU) - Toulouse",DELEPAUL,Mickaël,M.,,Directeur des affaires juridiques,SIL,Établissement public,31555
Direction régionale des affaires culturelles (DRAC) - Occitanie - Siège de Montpellier,ROUSSEL,Michel,M.,"inspecteur et conseiller hors classe de la création, des enseignements artistiques et de l'action culturelle",Directeur régional,SIL,Service déconcentré,34172
Direction régionale des affaires culturelles (DRAC) - Occitanie - Siège de Montpellier,DANIEL,Marc,M.,administrateur de l'État,Directeur régional adjoint,SIL,Service déconcentré,34172
Délégation militaire départementale (DMD) - Meuse,POTIN,Philippe,M.,colonel,Délégué militaire départemental,SIL,Service déconcentré,55029
Médiathèque départementale - Loire,DEFRADE,Sébastien,M.,,Directeur,SIL,Collectivité locale,42147
Agence régionale de santé (ARS) - Délégation départementale - Ardennes,MAUFFRÉ,Guillaume,M.,,Directeur départemental,SIL,Établissement public,08105
Agence régionale de santé (ARS) - Délégation départementale - Ardennes,GOSSET,Solène,Mme,,Directrice départementale adjointe,SIL,Établissement public,08105
Direction départementale des territoires (DDT) - Haute-Garonne,CALMET,Anne,Mme,"ingénieure des ponts, des eaux et des forêts",Directrice départementale,SIL,Direction départementale interministérielle,31555
Direction départementale des territoires (DDT) - Haute-Garonne,BOUILLY,Christophe,M.,"ingénieur des ponts, des eaux et des forêts",Directeur départemental adjoint,SIL,Direction départementale interministérielle,31555
Direction départementale des territoires (DDT) - Haute-Garonne,,,,,Adjoint à la directrice,SIL,Direction départementale interministérielle,31555
Direction départementale des territoires (DDT) - Haute-Garonne,GAY-MITAULT,Céline,Mme,,Cheffe du service économie agricole,SIL,Direction départementale interministérielle,31555
Direction départementale des territoires (DDT) - Haute-Garonne,GAUTIER,Grégoire,M.,,"Chef du service environnement, eaux et fôret",SIL,Direction départementale interministérielle,31555
Direction départementale des territoires (DDT) - Haute-Garonne,BOUSQUET,Aurélie,Mme,,Cheffe du service risques et gestion de crise,SIL,Direction départementale interministérielle,31555
Direction départementale des territoires (DDT) - Haute-Garonne,BREILLER-TARDY,Samuel,M.,,Chef du service territorial,SIL,Direction départementale interministérielle,31555
Direction départementale des territoires (DDT) - Haute-Garonne,PICHOT,David,M.,,Chef du service logement et construction durables,SIL,Direction départementale interministérielle,31555
"Direction régionale de l'environnement, de l'aménagement et du logement (Dréal) Nouvelle-Aquitaine - Unité bidépartementale Dordogne et Lot-et-Garonne (Périgueux)",MOUNIER,Sébastien,M.,,Chef de l'unité,SIL,Service déconcentré,24322
Sous-préfecture - Saintes,BRAULT,Guillaume,M.,,Sous-préfet,SIL,"Préfecture, sous-préfecture",17415
Sous-préfecture - Saintes,LEVEQUE,Simon,M.,,Secrétaire général,SIL,"Préfecture, sous-préfecture",17415
Délégation militaire départementale (DMD) - Aisne,CHAMAUD,Frédéric,M.,colonel,Délégué militaire départemental,SIL,Service déconcentré,02408
Délégation militaire départementale (DMD) - Aisne,VÉRA,Michel,M.,lieutenant-colonel,Délégué militaire départemental adjoint,SIL,Service déconcentré,02408
Service d’aide médicale urgente (Samu) - Aube,HORIOT,Alexandre,M.,,Chef de service,SIL,Établissement public,10387
Agence de développement - Réunion,DUBERNET,Marc,M.,,Directeur,SIL,Service déconcentré,97411
Unité départementale de l'architecture et du patrimoine (UDAP) - Indre-et-Loire,BARTHÉLÉMY,Adrienne,Mme,,"Cheffe du service, architecte des Bâtiments de France",SIL,Service déconcentré,37261
Direction de l'allocation des ressources et du pilotage (ARS) - Île-de-France,,,,,Directeur,SIL,Établissement public,93066
Direction de l'allocation des ressources et du pilotage (ARS) - Île-de-France,RIGAUD,Charles,M.,,Directeur adjoint,SIL,Établissement public,93066
"Direction régionale de l'environnement, de l'aménagement et du logement (Dréal) Occitanie - Unité interdépartementale Aude et Pyrénées-Orientales (Perpignan)",DENIS,Laurent,M.,,Chef de l'unité interdépartementale,SIL,Service déconcentré,66136
Délégué départemental à la vie associative (DDVA) - Nord,DE BACKER,François,M.,,Déléguée départementale à la vie associative (DDVA),SIL,Service déconcentré,59350
Sous-préfecture - Saint-Quentin,,,,,Sous-préfet,SIL,"Préfecture, sous-préfecture",02691
Sous-préfecture - Saint-Quentin,BRASILES,Benoît,M.,,Secrétaire général,SIL,"Préfecture, sous-préfecture",02691
Office national des combattants et victimes de guerre (ONaCVG) - Service départemental - Aveyron,CRÉPON-PILLONE,Caroline,Mme,,Directrice,SIL,Service déconcentré,12202
Direction interrégionale des services pénitentiaires Sud-Ouest - Bordeaux,LINARES,Franck,M.,directeur des services pénitentiaires de classe exceptionnelle,Directeur interrégional,SIL,Service déconcentré,33063
Direction interrégionale des services pénitentiaires Sud-Ouest - Bordeaux,PREMPAIN,Vanessa,Mme,directrice des services pénitentiaires hors classe,Adjointe,SIL,Service déconcentré,33063
Direction interrégionale des services pénitentiaires Sud-Ouest - Bordeaux,PASCAL,Julien,M.,,Secrétaire général,SIL,Service déconcentré,33063
Direction du cabinet - Haute-Vienne,AUGU,William,M.,sous-préfet,Directeur du cabinet,SIL,"Préfecture, sous-préfecture",87085
"Union Régionale des Conseils d'Architecture, d'Urbanisme et de l'Environnement - Bretagne",GUEGAN,Dominique,Mme,,Présidente,SIL,Association d'utilité publique,56260
Direction générale adjointe Accompagnement des ressources humaines,VELATTA,Aude-Laure,Mme,,Directrice générale adjointe,SIL,Collectivité locale,45234
Direction générale adjointe Accompagnement des ressources humaines,LOPEZ‐ROGER,Angélique,Mme,,"Directrice Carrières, appui et pilotage",SIL,Collectivité locale,45234
Direction générale adjointe Accompagnement des ressources humaines,BÉRARD,Florence,Mme,,"Directrice Organisation, métiers et compétences",SIL,Collectivité locale,45234
Direction générale adjointe Accompagnement des ressources humaines,LAMY,Hélène,Mme,,Directrice Prévention santé et environnement du travail,SIL,Collectivité locale,45234
Conseil régional - Occitanie,DELGA,Carole,Mme,,Présidente,SIL,Collectivité locale,31555
Conseil régional - Occitanie,MUNSCH,Simon,M.,,Directeur général des services (DGS),SIL,Collectivité locale,31555
Conseil régional - Occitanie,LALA ALQUIER,Ghislaine,Mme,,Secrétaire générale,SIL,Collectivité locale,31555
Conseil régional - Occitanie,HUBERT,Nicolas,M.,,Directeur de communication,SIL,Collectivité locale,31555
Conseil régional - Occitanie,LASKAWIEC,Elisabeth,Mme,,Directrice Finances,SIL,Collectivité locale,31555
Conseil régional - Occitanie,CANCEL,Guy,M.,,Directeur Valorisation des politiques publiques régionales,SIL,Collectivité locale,31555
"Direction générale Architecture, culture, éducation et jeunesse",DE GIULI MORGHEN,Raphaële,Mme,,Directrice générale adjointe,SIL,Collectivité locale,13203
"Direction générale Architecture, culture, éducation et jeunesse",MAZO,Éric,M.,,Directeur de l'éducation et de la vie des lycées,SIL,Collectivité locale,13203
"Direction générale Architecture, culture, éducation et jeunesse",DESSAIGNES,Bruno,M.,,Directeur de l'architecture et de la maîtrise d'ouvrage régionale,SIL,Collectivité locale,13203
"Direction générale Architecture, culture, éducation et jeunesse",BOIKO,Igor,M.,,Directeur des arts et de la culture,SIL,Collectivité locale,13203
"Direction générale Architecture, culture, éducation et jeunesse",VERGNES,Jacques,M.,,Directeur de la jeunesse et des sports,SIL,Collectivité locale,13203
Pôle investissements et logistique (CHU) - Montpellier,VELEINE,Thierry,M.,,Directeur,SIL,Établissement public,34172
Pôle investissements et logistique (CHU) - Montpellier,VELEINE,Thierry,M.,,"Directeur des travaux, du biomédical et incendie sûreté",SIL,Établissement public,34172
Pôle investissements et logistique (CHU) - Montpellier,LE COLLONIER,Inès,Mme,,Directrice de la logistique et des transports,SIL,Établissement public,34172
Pôle investissements et logistique (CHU) - Montpellier,MARQUÈS,Florence,Mme,,Directrice des achats et des approvisionnements,SIL,Établissement public,34172
Unité départementale de l'architecture et du patrimoine (UDAP) - Indre,SCHELLER,Gerhard,M.,,"Chef du service, architecte des Bâtiments de France",SIL,Service déconcentré,36044
Service de santé au travail de la région Nantaise (SSTRN) - Nantes,SAINT-LAURENT,Anne,Mme,,Directrice,SIL,Association d'utilité publique,44109
Agence régionale pour l’amélioration des conditions de travail (Aract) - Corse,MORTINI,Frédéric,M.,,Directeur régional,SIL,Établissement public,2A004
"Direction départementale de l'emploi, du travail, des solidarités et de la protection des populations (DDETSPP) - Haute-Loire",SOUVIGNET,Carole,Mme,attachée principale d'administration de l'Etat,Directrice départementale,SIL,Direction départementale interministérielle,43157
"Direction départementale de l'emploi, du travail, des solidarités et de la protection des populations (DDETSPP) - Haute-Loire",BRUN-CHANAL,Isabelle,Mme,directrice adjointe du travail,Directrice départementale adjointe,SIL,Direction départementale interministérielle,43157
"Direction départementale de l'emploi, du travail, des solidarités et de la protection des populations (DDETSPP) - Haute-Loire",BERTRAND,Romain,M.,professeur certifié,Directeur départemental adjoint,SIL,Direction départementale interministérielle,43157
Atelier Canopé 75 - Paris,RACINE,Virginie,Mme,,Directrice départementale,SIL,Établissement public,75056
Secrétariat général commun départemental - Corse-du-Sud,ROUAULT,Vincent,M.,attaché principal d'administration de l'Etat,Directeur,SIL,"Préfecture, sous-préfecture",2A004
Association de prévention et de santé au travail (APST) du Cher - Bourges,THORIN,Florence,Mme,,Directrice,SIL,Association d'utilité publique,18033
Secrétariat général commun départemental - Var,ODDONE,Sébastien,M.,,Directeur,SIL,"Préfecture, sous-préfecture",83137
Secrétariat général commun départemental - Var,,,,,Directeur adjoint,SIL,"Préfecture, sous-préfecture",83137
"Direction régionale et interdépartementale de l'environnement, de l'aménagement et des transports (DRIEAT) - Île-de-France - Unité départementale des Yvelines",DUBOIS,Delphine,Mme,,Cheffe de l'unité départementale,SIL,Service déconcentré,78646
Bibliothèque départementale - Nouméa,BIOLA,Nadira,Mme,,Responsable,SIL,Collectivité locale,98818
"Conseil d'architecture, d'urbanisme et de l'environnement (CAUE) - Moselle",SPET,Arnaud,M.,,Directeur,SIL,Association d'utilité publique,57463
Département des ressources humaines et de la formation (CHU) - Nice,BEAUGÉ,Houda,Mme,,Directrice du département,SIL,Établissement public,06088
Département des ressources humaines et de la formation (CHU) - Nice,JEANNIN,Caroline,Mme,,Directrice des affaires médicales,SIL,Établissement public,06088
Département des ressources humaines et de la formation (CHU) - Nice,PAUL,Anne-Gaëlle,Mme,,Directrice de l'institut de formation aux professions paramédicales,SIL,Établissement public,06088
Société d'aménagement foncier et d'établissement rural (Safer) - Vosges,MAURICE,Patrick,M.,,Chef du service départemental,SIL,Association d'utilité publique,88160
Délégation militaire départementale (DMD) - Hérault,SAVY,Fabrice,M.,lieutenant-colonel,Délégué militaire départemental,SIL,Service déconcentré,34172
Voies navigables de France (VNF) - Direction territoriale - Rhône Saône,WENDLING,Christophe,M.,"ingénieur général des ponts, des eaux et des forêts",Directeur territorial,SIL,Établissement public,69385
Voies navigables de France (VNF) - Direction territoriale - Rhône Saône,BOURGEOIS,Frédérique,Mme,,Directrice territoriale adjointe,SIL,Établissement public,69385
Centre hospitalier régional universitaire (CHRU) - Nancy,VANNESTE,Arnaud,M.,,Directeur général,SIL,Établissement public,54395
Centre hospitalier régional universitaire (CHRU) - Nancy,BRUNEAU,Francis,M.,,Directeur général adjoint,SIL,Établissement public,54395
Groupement de gendarmerie maritime de l'Atlantique,IGAU,Pierre-Damien,M.,colonel de gendarmerie,Commandant de groupement,SIL,Administration centrale (ou Ministère),29019
Centre régional des œuvres universitaires et scolaires (Crous) - La Réunion et Mayotte,SEMPERE,Pierre-Olivier,M.,,Directeur général,SIL,Établissement public,97411
Agence régionale de santé (ARS) - Délégation départementale - Paris,BODIN,Tanguy,M.,,Directeur départemental,SIL,Établissement public,75056
Agence régionale de santé (ARS) - Délégation départementale - Paris,DUFOUR,Lucie,Mme,,Directrice adjointe départementale,SIL,Établissement public,75056
Chambre régionale d'agriculture - Provence-Alpes-Côte d'Azur,LAMBERTIN,Georgia,Mme,,Présidente,SIL,Service déconcentré,13001
Chambre régionale d'agriculture - Provence-Alpes-Côte d'Azur,BOURDIN,Jean-Pierre,M.,,Directeur,SIL,Service déconcentré,13001
Secrétariat général pour l'administration de la police (SGAP) - Paris,LAVIELLE,Elise,Mme,administratrice de l'État,Secrétaire générale,SIL,Service déconcentré,75104
Direction de l’appui à la transformation et de l’accompagnement (ARS) - Pays de la Loire,BROWAEYS,Laurence,Mme,,Directrice,SIL,Établissement public,44109
Direction de l’appui à la transformation et de l’accompagnement (ARS) - Pays de la Loire,MICHELET,Vincent,M.,,Directeur adjoint,SIL,Établissement public,44109
Direction de l’appui à la transformation et de l’accompagnement (ARS) - Pays de la Loire,GUERRAUD,Stéphane,M.,,Chef du service ressources humaines en santé,SIL,Établissement public,44109
Direction de l’appui à la transformation et de l’accompagnement (ARS) - Pays de la Loire,GEFFROY,Bernard,M.,,Chef du service numérique et santé,SIL,Établissement public,44109
Direction de l’appui à la transformation et de l’accompagnement (ARS) - Pays de la Loire,POUPON,Michel,M.,,"Chef du service veille, observation et analyses",SIL,Établissement public,44109
Direction de l’appui à la transformation et de l’accompagnement (ARS) - Pays de la Loire,CORRÈZE,Vincent,M.,,"Chef du service sécurité, infrastructures et réseaux",SIL,Établissement public,44109
"Pôle ressources humaines, organisation des soins, formation relations sociales (CHU) - Reims",PASTEAU,Sylvain,M.,,Directeur,SIL,Établissement public,51454
"Pôle ressources humaines, organisation des soins, formation relations sociales (CHU) - Reims",GUÉRIN,Delphine,Mme,,Directrice adjointe des Ressources Humaines,SIL,Établissement public,51454
"Pôle ressources humaines, organisation des soins, formation relations sociales (CHU) - Reims",BRUGEAT,Thierry,M.,,"Directeur des soins infirmiers, de rééducation et médico-technique",SIL,Établissement public,51454
Direction du cabinet (ARS) - Bretagne,,,,,Directrice,SIL,Établissement public,35238
Direction du cabinet (ARS) - Bretagne,LAGADEC-FETHADDINE,Elisabeth,Mme,,Cheffe du département communication,SIL,Établissement public,35238
Direction du cabinet (ARS) - Bretagne,LAGADEC-FETHADDINE,Elisabeth,Mme,,Cheffe du département documentation,SIL,Établissement public,35238
Direction du cabinet (ARS) - Bretagne,LE QUERRE,Laurane,Mme,,Cheffe du département juridique,SIL,Établissement public,35238
Direction du cabinet (ARS) - Bretagne,DELAVEAU,Hélène,Mme,,Cheffe du département innovation en santé,SIL,Établissement public,35238
Bureau de la représentation de l'Etat et de la communication interministérielle - Pyrénées-Atlantiques,BOISELLE,Lucie,Mme,,Cheffe du bureau,SIL,"Préfecture, sous-préfecture",64445
"Service départemental à la jeunesse, à l'engagement et aux sports (SDJES) - Finistère",THILLAIS,Olivier,M.,,Chef du service départemental,SIL,Service déconcentré,29232
Bureau de la représentation de l'Etat et de la communication interministérielle - Marne,,,,,Chef du bureau,SIL,"Préfecture, sous-préfecture",51108
Pôle Ressources humaines et relation hospitalo-universitaire (CHU) - Hospices civils de Lyon,DELASTRE,Loïc,M.,,Directeur général adjoint,SIL,Établissement public,69123
Pôle Ressources humaines et relation hospitalo-universitaire (CHU) - Hospices civils de Lyon,GUIVARCH,Léa,Mme,,Directrice des ressources humaines et de la formation,SIL,Établissement public,69123
Pôle Ressources humaines et relation hospitalo-universitaire (CHU) - Hospices civils de Lyon,FLEURISSON,Fanny,Mme,,Directrice des affaires médicales,SIL,Établissement public,69123
Pôle Ressources humaines et relation hospitalo-universitaire (CHU) - Hospices civils de Lyon,GENDRY,Carol,Mme,,Directrice Centrale des soins,SIL,Établissement public,69123
Pôle Ressources humaines et relation hospitalo-universitaire (CHU) - Hospices civils de Lyon,PACHOT,Alexandre,M.,,Directeur de la recherche en santé,SIL,Établissement public,69123
Pôle Ressources humaines et relation hospitalo-universitaire (CHU) - Hospices civils de Lyon,DION,Armelle,Mme,,Directrice de l'innovation,SIL,Établissement public,69123
Délégation départementale aux droits des femmes et à l'égalité (DDDFE) - Ain,GROSJEAN,Cécile,Mme,,Déléguée départementale,SIL,Direction départementale interministérielle,01053
Office national des combattants et victimes de guerre (ONaCVG) - Service départemental - Morbihan,GESLIN-FERRON,Anne,Mme,,Directrice,SIL,Service déconcentré,56260
Direction des migrations et de l'intégration (DMI) - Haute-Garonne,,,,,Directeur,SIL,"Préfecture, sous-préfecture",31555
Direction interrégionale de la sécurité de l'aviation civile (DSAC-O) - Ouest,HERFELD,Etienne,M.,général de division aérienne,Directeur,SIL,Service déconcentré,29019
Délégation régionale académique à la recherche et à l’innovation (Drari) - Hauts-de-France,CUNY,Damien,M.,,Délégué régional,SIL,Service déconcentré,59350
Délégation régionale académique à la recherche et à l’innovation (Drari) - Hauts-de-France,GOMEZ,Florent,M.,,Adjoint,SIL,Service déconcentré,59350
Archives départementales - Haute-Vienne,SARTER,Michel,M.,,Directeur,SIL,Collectivité locale,87085
Bibliothèque départementale - Alsace,CARON-VANESSE,Julie,Mme,,Directrice,SIL,Collectivité locale,68066
Sous-préfecture - Dinan,MOREAU,Véronique,Mme,sous-préfète,Sous-préfète,SIL,"Préfecture, sous-préfecture",22050
Sous-préfecture - Dinan,VIVIER,Jean-François,M.,,Secrétaire général,SIL,"Préfecture, sous-préfecture",22050
Direction des sécurités - Yonne,KIEFFER,Nicolas,M.,,Directeur,SIL,"Préfecture, sous-préfecture",89024
Direction de la communication de la culture et mécénat (CHU) - Saint-Etienne,ROCHEREAU-BOSSARD,Angèle,Mme,,Directrice,SIL,Établissement public,42218
Service d’aide médicale urgente (Samu) - Loir-et-Cher,CHEKROUN,Akli,M.,,Chef de pôle,SIL,Établissement public,41018
Service d’aide médicale urgente (Samu) - Loir-et-Cher,DUCHALAIS,Ysoline,Mme,,Cadre de santé,SIL,Établissement public,41018
Direction régionale de l'Insee -  Auvergne-Rhône-Alpes,HARNOIS,Jérôme,M.,administrateur de l'INSEE,Directeur régional,SIL,Service déconcentré,69383
Direction régionale de l'Insee -  Auvergne-Rhône-Alpes,POLLET,Corinne,Mme,attachée statisticienne de l'INSEE,Cheffe du service administration des ressources,SIL,Service déconcentré,69383
Direction régionale de l'Insee -  Auvergne-Rhône-Alpes,THOMAS,Nicole,Mme,"ingénieure de la statistique, de l’économie et de la donnée",Cheffe du service statistique,SIL,Service déconcentré,69383
Direction régionale de l'Insee -  Auvergne-Rhône-Alpes,DAYAN,Patrick,M.,administrateur de l'INSEE,Chef du service statistique,SIL,Service déconcentré,69383
Direction régionale de l'Insee -  Auvergne-Rhône-Alpes,BRETEL,Antonin,M.,attaché statisticien de l'INSEE,Chef du service études et diffusion,SIL,Service déconcentré,69383
Météo-France - Direction interrégionale - Nouvelle-Calédonie et Wallis et Futuna,PERRET,Gilles,M.,,Directeur interrégional,SIL,Établissement public,98818
Direction générale des services départementaux - Paris,,,,,Secrétaire général du conseil de Paris,SIL,Collectivité locale,75104
"Direction régionale de l'économie, de l'emploi, du travail et des solidarités (DREETS) - Hauts-de-France",DROLEZ,Bruno,M.,inspecteur des affaires sociales,Directeur régional,SIL,Service déconcentré,59350
"Direction régionale de l'économie, de l'emploi, du travail et des solidarités (DREETS) - Hauts-de-France",BAVIÈRE,Olivier,M.,directeur du travail hors classe,"Directeur régional adjoint, directeur régional délégué",SIL,Service déconcentré,59350
"Direction régionale de l'économie, de l'emploi, du travail et des solidarités (DREETS) - Hauts-de-France",KARSENTI,Brigitte,Mme,directrice du travail hors classe,"Directrice régionale adjointe, pôle Politique du travail",SIL,Service déconcentré,59350
"Direction régionale de l'économie, de l'emploi, du travail et des solidarités (DREETS) - Hauts-de-France",RÉMY,Stéphane,M.,directeur du travail hors classe,"Directeur régional adjoint, pôle Entreprises, emploi, compétences",SIL,Service déconcentré,59350
"Direction régionale de l'économie, de l'emploi, du travail et des solidarités (DREETS) - Hauts-de-France",NELLO,Jean-Pierre,M.,"directeur départemental de la concurrence, de la consommation et de la répression des fraudes","Directeur régional adjoint, pôle Concurrence, consommation, répression des fraudes et métrologie",SIL,Service déconcentré,59350
"Direction régionale de l'économie, de l'emploi, du travail et des solidarités (DREETS) - Hauts-de-France",RICHARD,Emmanuel,M.,inspecteur de l'action sanitaire et sociale de classe exceptionnelle,"Directeur régional adjoint, pôle cohésion sociale",SIL,Service déconcentré,59350
