administration,nom,prenom,civilite,grade,fonction,categorie,type_organisme,code_insee_commune
Service des affaires régaliennes et des libertés publiques,GUICHARD,Christelle,Mme,,Cheffe du service,SI,Autorité administrative indépendante,
Service des affaires régaliennes et des libertés publiques,TAMOUZA,Ahlem,Mme,,Adjointe,SI,Autorité administrative indépendante,
Bureau de la réglementation des attributions des logements sociaux et du suivi du droit au logement opposable,,,,,Chef du bureau,SI,Administration centrale (ou Ministère),
Division Industrie et agriculture,,,,,Chef de la division,SI,Administration centrale (ou Ministère),
Conseil d'orientation des retraites,CETTE,Gilbert,M.,,Président,SI,"Conseil, comité, commission (organisme consultatif)",
Conseil d'orientation des retraites,BRETIN,Emmanuel,M.,inspecteur général de l'INSEE,Secrétaire général,SI,"Conseil, comité, commission (organisme consultatif)",
Conseil d'orientation des retraites,TAMPÈRE,Rébecca,Mme,,Chargée d'études et de la communication,SI,"Conseil, comité, commission (organisme consultatif)",
Equipe projets innovation Data-IAe,,,,,Responsable,SI,Administration centrale (ou Ministère),
Bureau des officiers,RENAUX,Louis-Xavier,M.,capitaine de vaisseau,Chef du bureau,SI,Administration centrale (ou Ministère),
Bureau Programmation - cohérence budgétaire,,,,,Chef du bureau,SI,Service à compétence nationale,
Bureau Agriculture - 7BA,LAGARDE,Nicolas,M.,administrateur hors classe de l'INSEE,Chef du bureau,SI,Administration centrale (ou Ministère),
Secrétariat général,BRÉHIER,Louise,Mme,maître des requêtes au Conseil d'État,Secrétaire générale,SI,Autorité administrative indépendante,
Secrétariat général,OGER,Julien,M.,,Secrétaire général adjoint,SI,Autorité administrative indépendante,
Secrétariat général,JOLY-HURARD,Julie,Mme,magistrate,Secrétaire générale adjointe,SI,Autorité administrative indépendante,
Bureau 3B. Régimes spéciaux,DROUIN,Caroline,Mme,administrateur de l'État,Cheffe du bureau,SI,Administration centrale (ou Ministère),
Institut supérieur de l'aéronautique et de l'espace,LAHOUD,Marwan,M.,,Président du conseil d'administration,SI,Établissement public,
Institut supérieur de l'aéronautique et de l'espace,BAROUX,Marie-Hélène,Mme,ingénieure générale de l'armement,Directrice générale,SI,Établissement public,
Institut supérieur de l'aéronautique et de l'espace,REMONT,Daniel,M.,,Agente comptable,SI,Établissement public,
Commandement militaire de Balard,,,,,Commandant militaire,SI,Administration centrale (ou Ministère),
Bureau des personnels de direction des lycées et collèges - DGRH E2-1,LEROY,Aurélie,Mme,"administratrice de l'Éducation nationale, de l'enseignement supérieur et de la recherche",Cheffe du bureau,SI,Administration centrale (ou Ministère),
Université Paris Cité,KAMINSKI,Édouard,M.,,Président,SI,Établissement d'enseignement,
Université Paris Cité,CLÉMENT,David,M.,,Directeur général des services,SI,Établissement d'enseignement,
Université Paris Cité,SOLIGNAC,Gwenaëlle,Mme,attachée d'administration de l'Etat,Directrice générale déléguée communication institutionnelle,SI,Établissement d'enseignement,
Université Paris Cité,MORALÈS,José,M.,,Agent comptable,SI,Établissement d'enseignement,
Service technique de l'aviation civile - Centre de tests de Biscarosse,,,,,Responsable,SI,Administration centrale (ou Ministère),
Sous-direction de la performance des territoires et des systèmes d'information,DURAND,Patrice,M.,"inspecteur d'académie, inspecteur pédagogique régional hors classe",Sous-directeur,SI,Administration centrale (ou Ministère),
Division Infrastructures et répertoire statistiques,BROIN,Myriam,Mme,,Cheffe de la division,SI,Administration centrale (ou Ministère),
Centre de recherche INRAE - Occitanie - Toulouse,JOLY,Pierre-Benoit,M.,,Président,SI,Établissement public,
Service des méthodes et du management des projets,VERCAUTEREN,Fabienne,Mme,ingénieure en chef des études et techniques de l'armement,"Sous-directrice, cheffe du service",SI,Administration centrale (ou Ministère),
Service de la stratégie de la recherche et de l'innovation (SSRI),BOREL,Corinne,Mme,,Cheffe du service,SI,Administration centrale (ou Ministère),
Service de la stratégie de la recherche et de l'innovation (SSRI),,,,,Adjoint,SI,Administration centrale (ou Ministère),
"Département des ressources humaines, des affaires financières et des moyens généraux",BONIN,Laureline,Mme,attachée principale d'administration de l'Etat,Cheffe du département,SI,Administration centrale (ou Ministère),
Mission portail des achats - SAD4,CHAUFFETON,Patrick,M.,,Chef de la mission,SI,Administration centrale (ou Ministère),
Bureau des politiques statutaires et salariales,GILLETTE,Françoise,Mme,,Cheffe du bureau,SI,Administration centrale (ou Ministère),
Centre de recherche INRAE - Auvergne-Rhône-Alpes - Clermont-Ferrand,BECHLER,Jean-Yves,M.,,Président,SI,Établissement public,
Direction des ressources humaines,DEBAR,Anne,Mme,"ingénieure générale des ponts, des eaux et des forêts",Directrice des ressources humaines,SI,Administration centrale (ou Ministère),
Direction des ressources humaines,TRANCHANT,Caroline,Mme,administratrice de l'État,"Cheffe de service, adjointe au directeur",SI,Administration centrale (ou Ministère),
Direction des ressources humaines,MARTIN,Véronique,Mme,"ingénieure générale des ponts, des eaux et des forêts","Haute fonctionnaire en charge de l'égalité des droits entre les femmes et les hommes et de la lutte contre les discriminations, experte de haut niveau",SI,Administration centrale (ou Ministère),
Direction des ressources humaines,MOREIRA,Marlene,Mme,,Cheffe de la mission coordination et communication,SI,Administration centrale (ou Ministère),
Bureau Réserve et garde nationale,BUREAU,Cédrik,M.,colonel,Chef du bureau,SI,Administration centrale (ou Ministère),
Bureau Pilotage et synthèse,,,,,Chef du bureau,SI,Administration centrale (ou Ministère),
Bureau Gestion des données,,,,,Chef du bureau,SI,Administration centrale (ou Ministère),
"Section Habitat, aménagement et cohésion sociale",MANCRET-TAYLOR,Valérie,Mme,architecte et urbaniste générale de l'État,Présidente,SI,Administration centrale (ou Ministère),
"Section Habitat, aménagement et cohésion sociale",ROBIN,Guy,M.,attaché d'administration de l'Etat hors classe,Secrétaire général,SI,Administration centrale (ou Ministère),
"Institut national du sport, de l'expertise et de la performance sportive",CANU,Fabien,M.,administrateur de l'État,Directeur général,SI,Établissement public,
"Institut national du sport, de l'expertise et de la performance sportive",,,,,"Directeur général adjoint, chargé de la coordination des politiques sportives",SI,Établissement public,
"Institut national du sport, de l'expertise et de la performance sportive",,,,,"Directeur général adjoint, chargé des affaires générales",SI,Établissement public,
"Institut national du sport, de l'expertise et de la performance sportive",AMIR-TAHMASSEB,Babak,M.,,Directeur de la Cellule des relations internationales et du réseau Grand Insep,SI,Établissement public,
"Institut national du sport, de l'expertise et de la performance sportive",,,,,Agent comptable,SI,Établissement public,
Bureau des institutions et de l'évaluation des politiques sociales et de l'emploi - POLSOC4,TACONET,Nicolas,M.,"ingénieur des ponts, des eaux et des forêts",Chef du bureau,SI,Administration centrale (ou Ministère),
